Symbol,Type,Logo
SETFNIF50.NS,ETFs,https://i.postimg.cc/1tdzRffZ/SBI-logo-svg.png
TUR,ETFs,https://i.postimg.cc/brHNxLmq/logo-ishares.jpg
UTES,ETFs,https://i.postimg.cc/ncpLFbLr/images.jpg
BOUT,ETFs,https://i.postimg.cc/qqmWH3R8/innovator-logo-large.png
FNY,ETFs,https://i.postimg.cc/7Pcp9SFk/first-trust-600.png
ATMP,ETFs,https://i.postimg.cc/N0kK7sF3/images-4.png
VDE,ETFs,https://i.postimg.cc/1tW42vpM/620acdf0bf9f993866c25b8e-vanguard.png
FIDU,ETFs,https://i.postimg.cc/jSV2pw7V/images-5.png
